,school,sex,age,address,fa2ize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,fa2up,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Final Grade
0,1,F,18,Urban,Greater than 3,Apart,4,4,at_home,teacher,course,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,Very Good,Moderate,4,1,1,Fair,6,5,6,6,Fail
1,1,F,17,Urban,Greater than 3,Living Together,1,1,at_home,other,course,father,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,Excellent,Moderate,3,1,1,Fair,4,5,5,6,Fail
2,1,F,15,Urban,Less or Equal to 3,Living Together,1,1,at_home,other,other,mother,Less than 15 Minutes,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,no,Very Good,Moderate,2,2,3,Fair,10,7,8,10,Pass
3,1,F,15,Urban,Greater than 3,Living Together,4,2,health,services,home,mother,Less than 15 Minutes,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Good,Low,2,1,1,Very Good,2,15,14,15,Pass
4,1,F,16,Urban,Greater than 3,Living Together,3,3,other,other,home,father,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,Very Good,Moderate,2,1,2,Very Good,4,6,10,10,Pass
5,1,M,16,Urban,Less or Equal to 3,Living Together,4,3,services,other,reputation,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,High,2,1,2,Very Good,10,15,15,15,Pass
6,1,M,16,Urban,Less or Equal to 3,Living Together,2,2,other,other,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,Very Good,High,4,1,1,Fair,0,12,12,11,Pass
7,1,F,17,Urban,Greater than 3,Apart,4,4,other,teacher,home,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,Very Good,Very Low,4,1,1,Very Bad,6,6,5,6,Fail
8,1,M,15,Urban,Less or Equal to 3,Apart,3,2,services,other,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Very Good,Low,2,1,1,Very Bad,0,16,18,19,Pass
9,1,M,15,Urban,Greater than 3,Living Together,3,4,other,other,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,Very High,1,1,1,Very Good,0,14,15,15,Pass
10,1,F,15,Urban,Greater than 3,Living Together,4,4,teacher,health,reputation,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,Moderate,3,1,2,Bad,0,10,8,9,Fail
11,1,F,15,Urban,Greater than 3,Living Together,2,1,services,other,reputation,father,30 Minutes to An Hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,Low,2,1,1,Good,4,10,12,12,Pass
12,1,M,15,Urban,Less or Equal to 3,Living Together,4,4,health,services,course,father,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,yes,yes,yes,yes,yes,yes,no,Very Good,Moderate,3,1,3,Very Good,2,14,14,14,Pass
13,1,M,15,Urban,Greater than 3,Living Together,4,3,teacher,other,course,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Excellent,High,3,1,2,Fair,2,10,10,11,Pass
14,1,M,15,Urban,Greater than 3,Apart,2,2,other,other,home,other,Less than 15 Minutes,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,Very Good,Very High,2,1,1,Fair,0,14,16,16,Pass
15,1,F,16,Urban,Greater than 3,Living Together,4,4,health,other,home,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,yes,no,no,yes,yes,yes,no,Very Good,High,4,1,2,Bad,4,14,14,14,Pass
16,1,F,16,Urban,Greater than 3,Living Together,4,4,services,services,reputation,mother,Less than 15 Minutes,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,Low,3,1,2,Bad,6,13,14,14,Pass
17,1,F,16,Urban,Greater than 3,Living Together,3,3,other,other,reputation,mother,30 Minutes to An Hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,Excellent,Moderate,2,1,1,Good,4,8,10,10,Pass
18,1,M,17,Urban,Greater than 3,Living Together,3,2,services,services,course,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,3,no,yes,no,yes,yes,yes,yes,no,Excellent,Very High,5,2,4,Very Good,16,6,5,5,Fail
19,1,M,16,Urban,Less or Equal to 3,Living Together,4,3,health,other,home,father,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,no,yes,yes,yes,yes,yes,no,Good,Very Low,3,1,3,Very Good,4,8,10,10,Pass
20,1,M,15,Urban,Greater than 3,Living Together,4,3,teacher,other,reputation,mother,Less than 15 Minutes,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,Very Good,High,1,1,1,Very Bad,0,13,14,15,Pass
21,1,M,15,Urban,Greater than 3,Living Together,4,4,health,health,other,father,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,yes,yes,no,yes,yes,yes,no,Excellent,High,2,1,1,Very Good,0,12,15,15,Pass
22,1,M,16,Urban,Less or Equal to 3,Living Together,4,2,teacher,other,course,mother,Less than 15 Minutes,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,Very Good,Very High,1,1,3,Very Good,2,15,15,16,Pass
23,1,M,16,Urban,Less or Equal to 3,Living Together,2,2,other,other,reputation,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,High,4,2,4,Very Good,0,13,13,12,Pass
24,1,F,15,Rural,Greater than 3,Living Together,2,4,services,health,course,mother,Less than 15 Minutes,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,Very Good,Moderate,2,1,1,Very Good,2,10,9,8,Fail
25,1,F,16,Urban,Greater than 3,Living Together,2,2,services,services,home,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,2,no,yes,yes,no,no,yes,yes,no,Very Bad,Low,2,1,3,Very Good,14,6,9,8,Fail
26,1,M,15,Urban,Greater than 3,Living Together,2,2,other,other,home,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,yes,yes,no,yes,yes,yes,no,Very Good,Low,2,1,2,Very Good,2,12,12,11,Pass
27,1,M,15,Urban,Greater than 3,Living Together,4,2,health,services,other,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,no,yes,no,yes,yes,yes,no,Bad,Low,4,2,4,Very Bad,4,15,16,15,Pass
28,1,M,16,Urban,Less or Equal to 3,Apart,3,4,services,other,home,mother,Less than 15 Minutes,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,Excellent,Moderate,3,1,1,Very Good,4,11,11,11,Pass
29,1,M,16,Urban,Greater than 3,Living Together,4,4,teacher,teacher,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Very Good,High,5,5,5,Very Good,16,10,12,11,Pass
30,1,M,15,Urban,Greater than 3,Living Together,4,4,health,services,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,Excellent,High,2,3,4,Very Good,0,9,11,12,Pass
31,1,M,15,Urban,Greater than 3,Living Together,4,4,services,services,reputation,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Very Good,Moderate,1,1,1,Very Good,0,17,16,17,Pass
32,1,M,15,Rural,Greater than 3,Living Together,4,3,teacher,at_home,course,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,Very Good,Very High,2,1,1,Very Good,0,17,16,16,Pass
33,1,M,15,Urban,Less or Equal to 3,Living Together,3,3,other,other,course,mother,Less than 15 Minutes,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,Excellent,Moderate,2,1,1,Bad,0,8,10,12,Pass
34,1,M,16,Urban,Greater than 3,Living Together,3,2,other,other,home,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,yes,yes,no,no,yes,yes,no,Excellent,High,3,1,1,Very Good,0,12,14,15,Pass
35,1,F,15,Urban,Greater than 3,Living Together,2,3,other,other,other,father,15 Minutes to 30 Minutes to An Hour0 Minutes,Less than 2 to 5 hours hours,0,no,yes,no,yes,yes,yes,no,no,Good,Very High,1,1,1,Very Good,0,8,7,6,Fail
36,1,M,15,Urban,Less or Equal to 3,Living Together,4,3,teacher,services,home,mother,Less than 15 Minutes,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,High,3,1,1,Good,2,15,16,18,Pass
37,1,M,16,Rural,Greater than 3,Apart,4,4,other,teacher,reputation,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,Bad,High,3,1,1,Very Good,7,15,16,15,Pass
38,1,F,15,Rural,Greater than 3,Living Together,3,4,services,health,course,mother,Less than 15 Minutes,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,Very Good,Moderate,2,1,1,Very Good,2,12,12,11,Pass
39,1,F,15,Rural,Greater than 3,Living Together,2,2,at_home,other,reputation,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,0,yes,yes,yes,yes,yes,yes,no,no,Very Good,Moderate,1,1,1,Bad,8,14,13,13,Pass
40,1,F,16,Urban,Less or Equal to 3,Living Together,2,2,other,other,home,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,1,no,yes,no,yes,no,yes,yes,yes,Good,Moderate,3,1,2,Fair,25,7,10,11,Pass
41,1,M,15,Urban,Less or Equal to 3,Living Together,4,4,teacher,other,home,other,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,yes,no,no,no,yes,yes,yes,Excellent,High,3,2,4,Very Good,8,12,12,12,Pass
42,1,M,15,Urban,Greater than 3,Living Together,4,4,services,teacher,course,father,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Very Good,Moderate,3,1,1,Very Good,2,19,18,18,Pass
43,1,M,15,Urban,Greater than 3,Living Together,2,2,services,services,course,father,Less than 15 Minutes,Less than 2 to 5 hours hours,0,yes,yes,no,no,yes,yes,yes,no,Excellent,High,1,1,1,Very Bad,0,8,8,11,Pass
44,1,F,16,Urban,Less or Equal to 3,Living Together,2,2,other,at_home,course,father,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,Very Good,Moderate,3,2,2,Very Good,14,10,10,9,Fail
45,1,F,15,Urban,Less or Equal to 3,Apart,4,3,other,other,course,mother,Less than 15 Minutes,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,Excellent,Low,2,1,1,Very Good,8,8,8,6,Fail
46,1,F,16,Urban,Less or Equal to 3,Apart,3,3,other,services,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,Bad,Moderate,5,1,4,Fair,12,11,12,11,Pass
47,1,M,16,Urban,Greater than 3,Living Together,4,3,health,services,reputation,mother,Less than 15 Minutes,More than 10 hours,0,no,no,no,yes,yes,yes,yes,no,Very Good,Low,2,1,1,Bad,4,19,19,20,Pass
48,1,M,15,Urban,Greater than 3,Living Together,4,2,teacher,other,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,Very Good,Moderate,3,2,2,Very Good,2,15,15,14,Pass
49,1,F,15,Urban,Greater than 3,Living Together,4,4,services,teacher,other,father,Less than 15 Minutes,2 to 5 hours,1,yes,yes,no,yes,no,yes,yes,no,Very Good,High,4,1,1,Fair,2,7,7,7,Fail
50,1,F,16,Urban,Less or Equal to 3,Living Together,2,2,services,services,course,mother,30 Minutes to An Hour,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Very Good,Moderate,3,2,3,Good,2,12,13,13,Pass
51,1,F,15,Urban,Less or Equal to 3,Living Together,4,2,health,other,other,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Very Good,Moderate,3,1,1,Very Good,2,11,13,13,Pass
52,1,M,15,Urban,Less or Equal to 3,Apart,4,2,health,health,other,father,15 Minutes to 30 Minutes to An Hour0 Minutes,Less than 2 to 5 hours hours,1,no,no,no,no,yes,yes,no,no,Excellent,Very High,5,3,4,Very Good,6,11,11,10,Pass
53,1,F,15,Urban,Greater than 3,Living Together,4,4,services,services,course,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,0,yes,yes,yes,no,yes,yes,yes,no,Good,Moderate,4,2,3,Very Good,0,8,10,11,Pass
54,1,F,15,Urban,Less or Equal to 3,Apart,3,3,other,other,other,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,no,yes,no,yes,yes,yes,no,Excellent,Moderate,4,4,4,Very Bad,6,10,13,13,Pass
55,1,F,16,Urban,Greater than 3,Apart,2,1,other,other,other,mother,Less than 15 Minutes,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,Excellent,Moderate,4,1,1,Bad,8,8,9,10,Pass
56,1,F,15,Urban,Greater than 3,Apart,4,3,services,services,reputation,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Very Good,Moderate,2,1,1,Very Bad,0,14,15,15,Pass
57,1,M,15,Urban,Greater than 3,Living Together,4,4,teacher,health,reputation,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,Good,Low,2,1,1,Very Good,4,14,15,15,Pass
58,1,M,15,Urban,Less or Equal to 3,Living Together,1,2,other,at_home,home,father,Less than 15 Minutes,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,Very Good,Moderate,2,1,1,Very Good,2,9,10,9,Fail
59,1,F,16,Urban,Greater than 3,Living Together,4,2,services,other,course,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,Very Good,Low,3,1,1,Very Good,2,15,16,16,Pass
60,1,F,16,Rural,Greater than 3,Living Together,4,4,health,teacher,other,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,Bad,High,4,2,3,Good,6,10,11,11,Pass
61,1,F,16,Urban,Greater than 3,Living Together,1,1,services,services,course,father,More than an Hour,Less than 2 to 5 hours hours,0,yes,yes,no,yes,no,yes,yes,yes,Excellent,Very High,5,5,5,Very Good,6,10,8,11,Pass
62,1,F,16,Urban,Less or Equal to 3,Living Together,1,2,other,services,reputation,father,Less than 15 Minutes,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,no,Very Good,High,3,1,1,Very Bad,4,8,10,9,Fail
63,1,F,16,Urban,Greater than 3,Living Together,4,3,teacher,health,home,mother,Less than 15 Minutes,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,Good,High,4,2,4,Good,2,10,9,9,Fail
64,1,F,15,Urban,Less or Equal to 3,Living Together,4,3,services,services,reputation,father,Less than 15 Minutes,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,Very Good,High,4,2,4,Bad,0,10,10,10,Pass
65,1,F,16,Urban,Less or Equal to 3,Living Together,4,3,teacher,services,course,mother,30 Minutes to An Hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,High,3,1,2,Very Bad,2,16,15,15,Pass
66,1,M,15,Urban,Greater than 3,Apart,4,4,other,services,reputation,mother,Less than 15 Minutes,More than 10 hours,0,no,yes,no,yes,no,yes,yes,yes,Very Bad,Moderate,3,5,5,Fair,4,13,13,12,Pass
67,1,F,16,Urban,Greater than 3,Living Together,3,1,services,other,course,mother,Less than 15 Minutes,More than 10 hours,0,yes,yes,yes,no,yes,yes,yes,no,Very Good,Moderate,3,1,2,Very Good,4,7,7,6,Fail
68,1,F,15,Rural,Less or Equal to 3,Living Together,2,2,health,services,reputation,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,Very Good,Very Low,3,1,3,Good,2,8,9,8,Fail
69,1,F,15,Rural,Less or Equal to 3,Living Together,3,1,other,other,reputation,father,15 Minutes to 30 Minutes to An Hour0 Minutes,More than 10 hours,0,no,yes,no,no,no,yes,yes,no,Very Good,High,2,2,3,Fair,12,16,16,16,Pass
70,1,M,16,Urban,Greater than 3,Living Together,3,1,other,other,reputation,father,15 Minutes to 30 Minutes to An Hour0 Minutes,More than 10 hours,0,no,yes,yes,no,yes,yes,yes,no,Very Good,Moderate,2,1,1,Very Good,0,13,15,15,Pass
71,1,M,15,Urban,Greater than 3,Living Together,4,2,other,other,course,mother,Less than 15 Minutes,More than 10 hours,0,no,no,no,no,yes,yes,yes,no,Good,Moderate,3,1,1,Fair,0,10,10,10,Pass
72,1,F,15,Rural,Greater than 3,Living Together,1,1,other,other,reputation,mother,Less than 15 Minutes,2 to 5 hours,2,yes,yes,no,no,no,yes,yes,yes,Good,Moderate,4,2,4,Very Good,2,8,6,5,Fail
73,1,M,16,Urban,Greater than 3,Living Together,3,1,other,other,reputation,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,no,no,yes,yes,yes,no,no,Excellent,Moderate,2,2,2,Very Good,2,12,12,14,Pass
74,1,F,16,Urban,Greater than 3,Living Together,3,3,other,services,home,mother,Less than 15 Minutes,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,no,Very Good,Moderate,3,2,4,Very Good,54,11,12,11,Pass
75,1,M,15,Urban,Greater than 3,Living Together,4,3,teacher,other,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Very Good,Moderate,3,2,3,Very Good,6,9,9,10,Pass
76,1,M,15,Urban,Greater than 3,Living Together,4,0,teacher,other,course,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,More than 10 hours,0,no,no,no,yes,yes,yes,yes,no,Good,High,3,1,1,Very Bad,8,11,11,10,Pass
77,1,F,16,Urban,Greater than 3,Living Together,2,2,other,other,reputation,mother,Less than 15 Minutes,More than 10 hours,0,no,no,yes,no,yes,yes,yes,yes,Excellent,Low,3,1,3,Fair,0,11,11,11,Pass
78,1,M,17,Urban,Greater than 3,Living Together,2,1,other,other,home,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,Less than 2 to 5 hours hours,3,yes,yes,no,yes,yes,no,yes,no,Very Good,Very High,1,1,1,Fair,2,8,8,10,Pass
79,1,F,16,Urban,Greater than 3,Living Together,3,4,at_home,other,course,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,Bad,High,3,1,2,Fair,12,5,5,5,Fail
80,1,M,15,Urban,Greater than 3,Living Together,2,3,other,services,course,father,Less than 15 Minutes,Less than 2 to 5 hours hours,0,yes,yes,yes,yes,no,yes,yes,yes,Good,Low,2,1,3,Fair,2,10,12,12,Pass
81,1,M,15,Urban,Greater than 3,Living Together,2,3,other,other,home,mother,Less than 15 Minutes,5 to 10 hours,0,yes,no,yes,no,no,yes,yes,no,Excellent,Moderate,2,1,2,Very Good,4,11,10,11,Pass
82,1,F,15,Urban,Less or Equal to 3,Living Together,3,2,services,other,reputation,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Very Good,High,4,1,1,Very Good,10,7,6,6,Fail
83,1,M,15,Urban,Less or Equal to 3,Living Together,2,2,services,services,home,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,no,Excellent,Moderate,3,1,3,Good,4,15,15,15,Pass
84,1,F,15,Urban,Greater than 3,Living Together,1,1,other,other,home,father,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,no,Very Good,Moderate,2,2,3,Good,2,9,10,10,Pass
85,1,F,15,Urban,Greater than 3,Living Together,4,4,services,services,reputation,father,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,2,no,no,yes,no,yes,yes,yes,yes,Very Good,High,4,2,3,Very Good,6,7,9,8,Fail
86,1,F,16,Urban,Less or Equal to 3,Living Together,2,2,at_home,other,course,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,Very Good,Moderate,4,1,2,Bad,4,8,7,6,Fail
87,1,F,15,Urban,Greater than 3,Living Together,4,2,other,other,reputation,mother,Less than 15 Minutes,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,Moderate,3,1,3,Very Bad,4,13,14,14,Pass
88,1,M,16,Urban,Greater than 3,Living Together,2,2,services,other,reputation,father,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,1,no,no,yes,yes,no,yes,yes,no,Very Good,High,2,1,1,Fair,12,11,10,10,Pass
89,1,M,16,Urban,Less or Equal to 3,Apart,4,4,teacher,health,reputation,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,Very Good,Very Low,3,3,5,Very Good,18,8,6,7,Fail
90,1,F,16,Urban,Greater than 3,Living Together,3,3,other,other,home,mother,Less than 15 Minutes,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,yes,Very Good,Moderate,3,1,3,Good,0,7,7,8,Fail
91,1,F,15,Urban,Greater than 3,Living Together,4,3,services,other,reputation,mother,Less than 15 Minutes,Less than 2 to 5 hours hours,0,no,no,yes,yes,yes,yes,yes,no,Very Good,Very High,5,1,3,Very Bad,4,16,17,18,Pass
92,1,F,16,Urban,Less or Equal to 3,Living Together,3,1,other,other,home,father,Less than 15 Minutes,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,Good,Moderate,3,2,3,Bad,4,7,6,6,Fail
93,1,F,16,Urban,Greater than 3,Living Together,4,2,teacher,services,home,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,Moderate,3,1,1,Very Bad,0,11,10,10,Pass
94,1,M,15,Urban,Less or Equal to 3,Living Together,2,2,services,health,reputation,mother,Less than 15 Minutes,More than 10 hours,0,no,yes,no,yes,yes,yes,yes,no,Very Good,Moderate,4,1,1,Good,6,11,13,14,Pass
95,1,F,15,Rural,Greater than 3,Living Together,1,1,at_home,other,home,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,More than 10 hours,1,yes,yes,yes,yes,yes,yes,yes,no,Good,Very Low,2,1,1,Very Bad,2,7,10,10,Pass
96,1,M,16,Rural,Greater than 3,Living Together,4,3,services,other,reputation,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,Less than 2 to 5 hours hours,0,yes,yes,no,yes,no,yes,yes,no,Good,Moderate,3,1,1,Good,2,11,15,15,Pass
97,1,F,16,Urban,Greater than 3,Living Together,2,1,other,other,course,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,yes,Very Good,Moderate,5,1,1,Very Good,2,8,9,10,Pass
